Team,Score,Overs,RR,Inns,Opposition,Ground,Result,Match Date,Scorecard
CSK,114/4,20.0,5.7,1,v KKR,Eden Gardens,lost,7 May 2011,Twenty20
Daredevils,114/5,20.0,5.7,1,v CSK,Chennai,lost,12 May 2012,Twenty20
Daredevils,114/8,20.0,5.7,1,v SRH,Delhi,lost,12 Apr 2013,Twenty20
CSK,114/9,20.0,5.7,1,v MI,Sharjah,lost,23 Oct 2020,Twenty20
SRH,114,19.5,5.74,2,v Kings XI,Dubai (DICS),lost,24 Oct 2020,Twenty20
RCB,115/9,20.0,5.75,1,v KKR,Ranchi,lost,12 May 2013,Twenty20
MI,115/9,20.0,5.75,1,v RCB,Dubai (DICS),lost,19 Apr 2014,Twenty20
RR,115/9,20.0,5.75,1,v DC,Delhi,lost,4 May 2019,Twenty20
SRH,115/8,20.0,5.75,1,v KKR,Dubai (DICS),lost,3 Oct 2021,Twenty20
Punjab Kings,115,20.0,5.75,1,v DC,Brabourne,lost,20 Apr 2022,Twenty20
RCB,115,19.3,5.89,2,v RR,Pune,lost,26 Apr 2022,Twenty20
Warriors,115,19.0,6.05,1,v Kings XI,Mohali,lost,12 Apr 2012,Twenty20
Chargers,115,18.2,6.27,2,v MI,Brabourne,lost,3 Apr 2010,Twenty20
Daredevils,115,18.1,6.33,1,v Kings XI,Mohali,lost,25 May 2014,Twenty20
MI,116/9,20.0,5.8,2,v Kings XI,Mohali,lost,25 Apr 2008,Twenty20
MI,116/7,20.0,5.8,2,v Kings XI,Durban,lost,29 Apr 2009,Twenty20
MI,116,20.0,5.8,1,v Daredevils,East London,lost,8 May 2009,Twenty20
CSK,116/9,20.0,5.8,1,v Kings XI,Durban,won,20 May 2009,Twenty20
Kings XI,116,19.0,6.1,2,v Chargers,Dharamsala,lost,21 May 2011,Twenty20
SRH,116,18.5,6.15,2,v DC,Hyderabad,lost,14 Apr 2019,Twenty20
Warriors,117/9,20.0,5.85,2,v CSK,Chennai,lost,25 Apr 2011,Twenty20
RR,117,19.4,5.94,1,v RCB,Bengaluru,lost,20 Apr 2013,Twenty20
DC,117,17.4,6.62,2,v CSK,DY Patil,lost,8 May 2022,Twenty20
Warriors,118/7,20.0,5.9,1,v KKR,DY Patil,lost,19 May 2011,Twenty20
Kings XI,118/8,20.0,5.9,1,v Daredevils,Delhi,lost,1 May 2015,Twenty20
SRH,118/8,20.0,5.9,1,v Supergiants,Hyderabad,lost,26 Apr 2016,Twenty20
SRH,118,18.4,6.32,1,v MI,Wankhede,won,24 Apr 2018,Twenty20
RR,118,17.5,6.61,1,v GT,Jaipur,lost,5 May 2023,Twenty20
Warriors,118,17.2,6.8,1,v MI,Wankhede,lost,20 Apr 2011,Twenty20
Kings XI,119/8,20.0,5.95,1,v MI,Durban,won,29 Apr 2009,Twenty20
Kings XI,119/9,20.0,5.95,1,v MI,Centurion,lost,12 May 2009,Twenty20
Kings XI,119/6,20.0,5.95,1,v KKR,Eden Gardens,lost,30 Apr 2011,Twenty20
Kings XI,119/8,20.0,5.95,1,v Warriors,Mohali,lost,8 May 2011,Twenty20
Warriors,119/6,20.0,5.95,2,v MI,Pune,lost,3 May 2012,Twenty20
SRH,119/8,20.0,5.95,1,v Warriors,Pune,won,17 Apr 2013,Twenty20
KKR,119/9,20.0,5.95,1,v CSK,Eden Gardens,lost,20 Apr 2013,Twenty20
CSK,119/6,20.0,5.95,1,v Daredevils,Raipur,lost,12 May 2015,Twenty20
Kings XI,119,19.2,6.15,2,v SRH,Hyderabad,lost,26 Apr 2018,Twenty20
RCB,119,19.0,6.26,2,v Kings XI,Bengaluru,lost,5 May 2017,Twenty20
Kochi,119,18.5,6.31,2,v Daredevils,Kochi,lost,30 Apr 2011,Twenty20
Chargers,119,17.1,6.93,2,v CSK,Visakhapatnam,lost,7 Apr 2012,Twenty20
Daredevils,120/9,20.0,6.0,1,v Kings XI,Bloemfontein,lost,15 May 2009,Twenty20
Kings XI,120/9,20.0,6.0,2,v RCB,Bengaluru,lost,6 May 2011,Twenty20
MI,120/9,20.0,6.0,1,v Warriors,Pune,won,3 May 2012,Twenty20
CSK,120/7,20.0,6.0,1,v Kings XI,Dharamsala,lost,17 May 2012,Twenty20
Daredevils,120/7,20.0,6.0,1,v Kings XI,Delhi,lost,23 Apr 2013,Twenty20
Kings XI,120/9,20.0,6.0,2,v SRH,Mohali,lost,11 May 2013,Twenty20
RCB,120/7,20.0,6.0,1,v SRH,Sharjah,lost,31 Oct 2020,Twenty20
SRH,120/7,20.0,6.0,2,v Punjab Kings,Sharjah,lost,25 Sep 2021,Twenty20
Punjab Kings,120,19.4,6.1,1,v SRH,Chennai,lost,21 Apr 2021,Twenty20
Daredevils,120,16.3,7.27,2,v MI,Delhi,lost,17 Mar 2010,Twenty20
MI,121/8,20.0,6.05,1,v Supergiants,Wankhede,lost,9 Apr 2016,Twenty20
Daredevils,121/6,20.0,6.05,1,v Supergiants,Visakhapatnam,lost,17 May 2016,Twenty20
RR,121/6,20.0,6.05,2,v DC,Abu Dhabi,lost,25 Sep 2021,Twenty20
SRH,121/8,20.0,6.05,1,v LSG,Lucknow,lost,7 Apr 2023,Twenty20
SRH,121,19.2,6.25,2,v Kings XI,Sharjah,lost,22 Apr 2014,Twenty20
RR,121,17.4,6.84,2,v Daredevils,Delhi,lost,31 Mar 2010,Twenty20
RCB,121,17.0,7.11,2,v Kings XI,Dharamsala,lost,17 May 2011,Twenty20
MI,122/7,20.0,6.1,2,v KKR,Abu Dhabi,lost,16 Apr 2014,Twenty20
RCB,122/9,20.0,6.1,2,v CSK,Wankhede,lost,25 Apr 2021,Twenty20
KKR,123/8,20.0,6.15,1,v Daredevils,Johannesburg,lost,10 May 2009,Twenty20
RCB,123/9,20.0,6.15,2,v KKR,Bengaluru,lost,10 Apr 2012,Twenty20
RCB,123/9,20.0,6.15,2,v Chargers,Hyderabad,lost,20 May 2012,Twenty20
Kings XI,123/9,20.0,6.15,1,v SRH,Hyderabad,lost,19 Apr 2013,Twenty20
Punjab Kings,123/9,20.0,6.15,1,v KKR,Ahmedabad,lost,26 Apr 2021,Twenty20
SRH,123/8,20.0,6.15,2,v KKR,Pune,lost,14 May 2022,Twenty20
RCB,123,17.4,6.96,2,v KKR,Eden Gardens,lost,6 Apr 2023,Twenty20
MI,124/3,20.0,6.2,2,v Warriors,Wankhede,won,20 Apr 2011,Twenty20
Kings XI,124/7,20.0,6.2,1,v KKR,Mohali,lost,18 Apr 2012,Twenty20
RCB,124/8,20.0,6.2,1,v Kings XI,Dubai (DICS),lost,28 Apr 2014,Twenty20
MI,124/9,20.0,6.2,1,v Kings XI,Visakhapatnam,lost,13 May 2016,Twenty20
KKR,124/8,20.0,6.2,1,v Guj Lions,Kanpur,lost,19 May 2016,Twenty20
RCB,124,19.4,6.3,2,v CSK,Chennai,lost,4 May 2015,Twenty20
