Player,Span,Mat,Overs,Mdns,Balls,Runs,Wkts,BBI,Ave,Econ,SR,4,5,10
R Sharma (DC/DCH/PWI),2010-2014,44,154.4,1,928,1086,40,3/13,27.15,7.02,23.2,-,-,-
KMDN Kulasekara (CSK),2011-2012,6,17.0,-,102,120,5,2/10,24.0,7.05,20.4,-,-,-
MM Ali (CSK/RCB),2018-2024,67,126.2,-,758,893,35,4/26,25.51,7.06,21.6,1,-,-
Harbhajan Singh (CSK/KKR/MI),2008-2021,163,569.2,6,3416,4030,150,5/18,26.86,7.07,22.7,1,1,-
AG Murtaza (MI/PWI),2010-2013,12,44.0,-,264,313,9,3/15,34.77,7.11,29.3,-,-,-
R Ashwin (CSK/DC/KXIP/RPS/RR),2009-2024,212,754.0,4,4524,5369,180,4/34,29.82,7.12,25.1,1,-,-
BAW Mendis (KKR/PWI),2008-2013,10,40.0,-,240,285,8,2/19,35.62,7.12,30.0,-,-,-
C Nanda (MI),2009-2009,3,8.0,-,48,57,2,1/4,28.5,7.12,24.0,-,-,-
SL Malinga (MI),2009-2019,122,471.1,8,2827,3365,170,5/13,19.79,7.14,16.6,6,1,-
T Thushara (CSK),2009-2010,6,22.3,-,135,161,8,2/16,20.12,7.15,16.8,-,-,-
CK Langeveldt (KKR/RCB),2009-2011,7,26.0,-,156,187,13,3/15,14.38,7.19,12.0,-,-,-
BMAJ Mendis (DC),2013-2013,3,5.0,-,30,36,1,1/16,36.0,7.2,30.0,-,-,-
DJ Muthuswami (DC),2015-2015,6,14.0,-,84,101,4,2/18,25.25,7.21,21.0,-,-,-
DE Bollinger (CSK),2010-2012,27,96.0,3,576,693,37,4/13,18.72,7.21,15.5,1,-,-
SE Bond (KKR),2010-2010,8,31.0,1,186,224,9,2/24,24.88,7.22,20.6,-,-,-
RN ten Doeschate (KKR),2011-2015,29,13.0,-,78,94,2,1/7,47.0,7.23,39.0,-,-,-
Iqbal Abdulla (KKR/RCB/RR),2008-2017,49,153.2,1,920,1109,40,3/24,27.72,7.23,23.0,-,-,-
M Kartik (KKR/KXIP/PWI/RCB),2008-2014,56,191.4,1,1150,1388,31,3/17,44.77,7.24,37.0,-,-,-
T Stubbs (DC/MI),2022-2024,18,4.0,-,24,29,4,2/11,7.25,7.25,6.0,-,-,-
SK Warne (RR),2008-2011,55,199.0,1,1194,1447,57,4/21,25.38,7.27,20.9,1,-,-
AR Patel (DC/KXIP),2014-2024,150,516.3,2,3099,3758,123,4/21,30.55,7.27,25.1,1,-,-
SM Harwood (RR),2009-2009,3,10.0,-,60,73,3,2/25,24.33,7.3,20.0,-,-,-
JJ Bumrah (MI),2013-2024,133,508.5,8,3053,3715,165,5/10,22.51,7.3,18.5,2,2,-
DP Nannes (CSK/DC/RCB),2009-2013,29,107.3,1,645,785,28,3/27,28.03,7.3,23.0,-,-,-
Ankit Sharma (DCH/RPS/RR/SRH),2012-2018,22,61.1,-,367,450,12,2/20,37.5,7.35,30.5,-,-,-
JM Kemp (CSK),2010-2010,5,7.2,-,44,54,3,3/12,18.0,7.36,14.6,-,-,-
PP Ojha (DCH/MI),2008-2015,92,316.3,1,1899,2332,89,3/11,26.2,7.36,21.3,-,-,-
KH Pandya (LSG/MI),2016-2024,127,353.4,1,2122,2606,76,3/11,34.28,7.36,27.9,-,-,-
A Mishra (DC/DCH/LSG/SRH),2008-2024,162,561.5,6,3371,4145,174,5/17,23.82,7.37,19.3,4,1,-
JP Duminy (DC/DCH/MI),2009-2018,83,113.0,-,678,834,23,4/17,36.26,7.38,29.4,1,-,-
